customer_id,date,minutes_watched,pages_viewed,activity_score
C100008,2025-04-30,155,30,81.7
C100008,2025-05-31,178,51,92.3
C100008,2025-06-30,103,99,71.8
C100008,2025-07-31,133,70,56.0
C100008,2025-08-31,57,84,54.3
C100008,2025-09-30,199,110,100.0
C100008,2025-10-31,241,66,100.0
C100009,2025-01-31,45,74,100.0
C100009,2025-02-28,60,36,97.2
C100009,2025-03-31,56,18,86.1
C100009,2025-04-30,61,33,53.6
C100009,2025-05-31,18,34,74.1
C100009,2025-06-30,54,55,53.9
C100009,2025-07-31,34,28,59.7
C100009,2025-08-31,78,16,100.0
C100009,2025-09-30,107,29,100.0
C100009,2025-10-31,34,49,82.3
C100010,2025-10-31,80,29,17.6
C100011,2025-01-31,44,18,45.1
C100011,2025-02-28,62,22,54.2
C100011,2025-03-31,34,17,83.8
C100011,2025-04-30,44,20,55.5
C100011,2025-05-31,68,38,11.8
C100011,2025-06-30,84,55,57.0
C100011,2025-07-31,36,21,46.9
C100011,2025-08-31,65,0,49.3
C100011,2025-09-30,96,13,100.0
C100011,2025-10-31,68,0,85.4
C100012,2025-09-30,19,7,61.2
C100012,2025-10-31,23,14,81.2
C100013,2024-11-30,23,1,48.2
C100013,2024-12-31,43,14,100.0
C100013,2025-01-31,31,11,66.4
C100013,2025-02-28,19,0,56.7
C100013,2025-03-31,29,6,67.9
C100013,2025-04-30,26,4,49.6
C100013,2025-05-31,11,5,27.9
C100013,2025-06-30,12,18,35.7
C100013,2025-07-31,21,6,80.6
C100013,2025-08-31,30,15,66.1
C100013,2025-09-30,18,2,94.9
C100013,2025-10-31,13,13,75.5
C100014,2024-11-30,46,48,80.6
C100014,2024-12-31,101,21,57.9
C100014,2025-01-31,47,33,66.8
C100014,2025-02-28,50,0,76.1
C100014,2025-03-31,107,38,97.8
C100014,2025-04-30,73,37,93.0
C100014,2025-05-31,69,24,57.1
C100014,2025-06-30,54,35,61.7
C100014,2025-07-31,67,37,89.0
C100014,2025-08-31,90,31,53.8
C100014,2025-09-30,51,30,30.3
C100014,2025-10-31,93,32,88.6
C100015,2024-12-31,30,6,71.5
C100015,2025-01-31,19,8,40.9
C100015,2025-02-28,33,7,75.0
C100015,2025-03-31,4,17,72.4
C100015,2025-04-30,20,8,64.7
C100015,2025-05-31,38,0,78.3
C100015,2025-06-30,12,9,49.0
C100015,2025-07-31,16,9,32.6
C100015,2025-08-31,28,0,70.1
C100015,2025-09-30,17,2,59.7
C100015,2025-10-31,7,10,23.9
C100016,2024-11-30,71,13,64.6
C100016,2024-12-31,67,16,71.2
C100016,2025-01-31,23,41,93.0
C100016,2025-02-28,127,31,100.0
C100016,2025-03-31,17,57,71.2
C100016,2025-04-30,48,52,60.9
C100016,2025-05-31,49,38,45.1
C100016,2025-06-30,84,10,57.0
C100016,2025-07-31,38,43,50.3
C100016,2025-08-31,27,19,58.4
C100016,2025-09-30,31,9,100.0
C100016,2025-10-31,39,24,55.7
C100017,2025-08-31,116,96,100.0
C100017,2025-09-30,122,18,100.0
C100017,2025-10-31,134,142,49.8
C100018,2024-11-30,64,64,64.3
C100018,2024-12-31,54,35,56.8
C100018,2025-01-31,52,23,54.8
C100018,2025-02-28,89,38,84.7
C100018,2025-03-31,79,25,60.8
C100018,2025-04-30,45,30,43.8
C100018,2025-05-31,47,20,100.0
C100018,2025-06-30,0,26,84.5
C100018,2025-07-31,62,43,72.7
C100018,2025-08-31,43,0,68.4
C100018,2025-09-30,41,15,53.7
C100018,2025-10-31,101,73,88.0
C100019,2025-09-30,48,8,75.4
C100019,2025-10-31,102,25,36.4
C100020,2025-06-30,76,47,43.6
C100020,2025-07-31,64,38,69.9
C100020,2025-08-31,41,48,55.6
C100020,2025-09-30,24,0,83.2
C100020,2025-10-31,74,31,65.9
C100021,2025-06-30,47,10,57.0
C100021,2025-07-31,9,16,46.8
C100021,2025-08-31,74,29,90.6
C100021,2025-09-30,92,49,90.1
C100021,2025-10-31,60,12,84.8
C100022,2025-05-31,33,12,99.3
C100022,2025-06-30,7,3,69.4
C100022,2025-07-31,22,17,57.0
C100022,2025-08-31,13,8,23.7
C100022,2025-09-30,10,15,70.8
C100022,2025-10-31,22,0,50.2
C100023,2024-11-30,10,17,41.7
C100023,2024-12-31,11,10,40.9
C100023,2025-01-31,31,5,32.3
C100023,2025-02-28,2,9,39.4
C100023,2025-03-31,8,17,66.0
C100023,2025-04-30,19,18,69.6
C100023,2025-05-31,13,3,70.7
C100023,2025-06-30,23,11,40.7
C100023,2025-07-31,24,5,56.0
C100023,2025-08-31,31,6,28.9
C100023,2025-09-30,11,15,58.8
C100023,2025-10-31,18,6,65.7
C100024,2025-08-31,13,11,39.7
C100024,2025-09-30,12,6,46.5
C100024,2025-10-31,19,11,0.0
C100025,2025-05-31,40,22,93.4
C100025,2025-06-30,34,32,91.2
C100025,2025-07-31,28,37,43.3
C100025,2025-08-31,47,15,51.0
C100025,2025-09-30,125,45,100.0
C100025,2025-10-31,71,1,81.6
C100026,2025-10-31,85,14,97.6
C100027,2025-05-31,76,63,67.0
C100027,2025-06-30,33,23,89.7
C100027,2025-07-31,16,0,57.1
C100027,2025-08-31,49,30,85.2
C100027,2025-09-30,46,0,100.0
C100027,2025-10-31,36,10,84.1
C100028,2025-09-30,16,9,65.0
C100028,2025-10-31,28,7,89.7
C100029,2025-08-31,8,43,35.9
C100029,2025-09-30,92,32,67.2
C100029,2025-10-31,75,46,87.8
C100030,2024-11-30,11,7,53.6
C100030,2024-12-31,19,14,16.0
C100030,2025-01-31,22,8,40.6
C100030,2025-02-28,14,8,0.0
C100030,2025-03-31,14,4,65.3
C100030,2025-04-30,13,8,85.2
C100030,2025-05-31,27,15,49.0
C100030,2025-06-30,24,8,54.1
C100030,2025-07-31,23,6,87.5
C100030,2025-08-31,18,13,85.1
C100030,2025-09-30,28,1,68.2
C100030,2025-10-31,26,15,36.4
C100031,2025-08-31,44,47,49.4
C100031,2025-09-30,52,58,66.4
C100031,2025-10-31,42,14,70.7
C100033,2025-01-31,9,8,59.7
C100033,2025-02-28,30,14,45.7
C100033,2025-03-31,29,8,35.0
C100033,2025-04-30,18,18,59.3
C100033,2025-05-31,20,19,28.0
C100033,2025-06-30,9,0,60.5
C100033,2025-07-31,21,19,61.9
C100033,2025-08-31,16,10,57.7
C100033,2025-09-30,6,26,62.4
C100033,2025-10-31,21,13,71.2
C100034,2025-05-31,18,6,68.0
C100034,2025-06-30,23,5,86.0
C100034,2025-07-31,22,14,85.2
C100034,2025-08-31,20,11,72.9
C100034,2025-09-30,14,10,57.2
C100034,2025-10-31,12,23,25.9
C100035,2024-11-30,28,53,73.6
C100035,2024-12-31,35,40,91.0
C100035,2025-01-31,59,76,35.2
C100035,2025-02-28,76,50,93.2
C100035,2025-03-31,55,24,77.2
C100035,2025-04-30,79,40,97.1
C100035,2025-05-31,35,25,42.9
C100035,2025-06-30,50,48,68.8
C100035,2025-07-31,122,33,91.9
C100035,2025-08-31,62,18,69.5
C100035,2025-09-30,87,32,63.1
C100035,2025-10-31,37,21,63.8
C100036,2024-11-30,88,5,72.9
C100036,2024-12-31,63,0,54.3
C100036,2025-01-31,43,15,68.2
C100036,2025-02-28,56,20,77.2
C100036,2025-03-31,101,59,45.2
C100036,2025-04-30,73,26,77.4
C100036,2025-05-31,50,32,69.7
C100036,2025-06-30,46,13,56.4
C100036,2025-07-31,65,40,88.7
C100036,2025-08-31,48,35,85.3
C100036,2025-09-30,87,28,74.6
C100036,2025-10-31,64,9,67.5
C100037,2025-08-31,25,13,52.9
C100037,2025-09-30,21,5,71.1
C100037,2025-10-31,19,8,49.1
C100038,2025-05-31,136,51,100.0
C100038,2025-06-30,117,136,100.0
C100038,2025-07-31,90,72,67.0
C100038,2025-08-31,121,154,84.2
C100038,2025-09-30,160,92,83.3
C100038,2025-10-31,92,19,62.9
C100039,2024-11-30,0,39,91.1
C100039,2024-12-31,63,4,58.1
C100039,2025-01-31,48,11,83.2
C100039,2025-02-28,79,9,90.8
C100039,2025-03-31,96,64,100.0
C100039,2025-04-30,38,80,55.6
C100039,2025-05-31,45,35,53.4
C100039,2025-06-30,69,6,68.2
C100039,2025-07-31,90,28,82.8
C100039,2025-08-31,71,51,40.6
C100039,2025-09-30,74,25,78.0
C100039,2025-10-31,85,8,58.1
C100040,2025-07-31,31,46,86.9
C100040,2025-08-31,133,13,84.6
C100040,2025-09-30,56,22,76.4
C100040,2025-10-31,74,116,73.2
C100041,2024-11-30,20,8,72.1
C100041,2024-12-31,26,12,70.0
C100041,2025-01-31,18,13,49.2
C100041,2025-02-28,20,8,47.5
C100041,2025-03-31,14,12,80.9
C100041,2025-04-30,29,2,85.5
C100041,2025-05-31,17,13,37.5
C100041,2025-06-30,21,11,27.3
C100041,2025-07-31,24,18,54.5
C100041,2025-08-31,30,8,77.0
C100041,2025-09-30,2,24,80.6
C100041,2025-10-31,17,0,61.4
C100042,2025-01-31,25,38,66.6
C100042,2025-02-28,37,50,78.4
C100042,2025-03-31,83,30,49.4
C100042,2025-04-30,83,25,49.9
C100042,2025-05-31,92,67,79.8
C100042,2025-06-30,111,31,79.4
C100042,2025-07-31,44,59,49.1
C100042,2025-08-31,77,19,66.5
C100042,2025-09-30,84,23,69.9
C100042,2025-10-31,87,58,91.9
C100043,2024-11-30,103,48,85.9
C100043,2024-12-31,157,28,100.0
C100043,2025-01-31,144,0,79.4
C100043,2025-02-28,111,66,100.0
C100043,2025-03-31,153,34,100.0
C100043,2025-04-30,120,83,100.0
C100043,2025-05-31,207,68,100.0
C100043,2025-06-30,190,40,100.0
C100043,2025-07-31,158,34,100.0
C100043,2025-08-31,256,68,100.0
C100043,2025-09-30,130,100,100.0
C100043,2025-10-31,171,74,100.0
C100044,2025-10-31,52,48,61.6
C100045,2025-06-30,70,27,72.2
C100045,2025-07-31,50,54,52.0
C100045,2025-08-31,42,68,83.6
C100045,2025-09-30,2,19,14.4
C100045,2025-10-31,37,0,59.6
C100046,2024-11-30,10,10,20.8
C100046,2024-12-31,20,7,86.7
C100046,2025-01-31,31,14,53.8
C100046,2025-02-28,35,0,33.6
C100046,2025-03-31,19,23,52.3
C100046,2025-04-30,18,1,74.9
C100046,2025-05-31,27,14,46.4
C100046,2025-06-30,14,2,56.3
C100046,2025-07-31,11,2,45.2
C100046,2025-08-31,16,6,64.7
C100046,2025-09-30,20,8,60.3
C100046,2025-10-31,12,10,57.0
C100047,2024-11-30,7,15,34.7
C100047,2024-12-31,20,16,75.2
C100047,2025-01-31,20,7,75.6
C100047,2025-02-28,25,6,42.4
C100047,2025-03-31,3,10,49.3
C100047,2025-04-30,29,12,86.4
C100047,2025-05-31,14,16,44.1
C100047,2025-06-30,26,1,63.4
C100047,2025-07-31,4,8,60.1
C100047,2025-08-31,15,3,71.9
C100047,2025-09-30,19,7,57.2
C100047,2025-10-31,41,16,86.9
C100048,2025-04-30,23,10,9.7
C100048,2025-05-31,14,7,17.2
C100048,2025-06-30,10,0,52.6
C100048,2025-07-31,26,16,67.0
C100048,2025-08-31,12,0,18.9
C100048,2025-09-30,9,4,49.8
C100048,2025-10-31,11,12,49.0
C100049,2024-11-30,20,16,33.1
C100049,2024-12-31,23,9,51.0
C100049,2025-01-31,27,15,40.1
C100049,2025-02-28,18,11,50.5
C100049,2025-03-31,24,11,94.7
C100049,2025-04-30,7,9,34.2
C100049,2025-05-31,24,0,64.9
C100049,2025-06-30,14,5,25.7
C100049,2025-07-31,16,16,54.8
C100049,2025-08-31,25,19,63.6
C100049,2025-09-30,15,12,44.1
C100049,2025-10-31,15,0,73.5
C100050,2024-11-30,16,11,34.6
C100050,2024-12-31,23,5,54.8
C100050,2025-01-31,27,14,58.6
C100050,2025-02-28,5,27,86.6
C100050,2025-03-31,25,5,56.1
C100050,2025-04-30,15,17,60.3
C100050,2025-05-31,13,7,76.8
C100050,2025-06-30,32,19,75.8
C100050,2025-07-31,17,0,61.6
C100050,2025-08-31,19,10,57.4
C100050,2025-09-30,9,13,65.6
C100050,2025-10-31,25,15,70.4
C100052,2025-01-31,117,67,90.8
C100052,2025-02-28,146,111,100.0
C100052,2025-03-31,256,162,100.0
C100052,2025-04-30,0,121,39.2
C100052,2025-05-31,95,53,72.7
C100052,2025-06-30,174,4,86.4
C100052,2025-07-31,159,96,100.0
C100052,2025-08-31,95,28,71.5
C100052,2025-09-30,153,132,60.1
C100052,2025-10-31,127,14,59.3
C100053,2024-11-30,27,13,68.0
C100053,2024-12-31,27,7,50.3
C100053,2025-01-31,37,8,77.0
C100053,2025-02-28,20,0,15.8
C100053,2025-03-31,15,16,70.8
C100053,2025-04-30,27,4,91.3
C100053,2025-05-31,12,11,53.8
C100053,2025-06-30,18,18,41.9
C100053,2025-07-31,9,10,45.0
C100053,2025-08-31,47,14,57.5
C100053,2025-09-30,11,0,33.2
C100053,2025-10-31,20,18,79.1
C100054,2024-11-30,65,24,77.0
C100054,2024-12-31,47,60,61.9
C100054,2025-01-31,57,0,65.1
C100054,2025-02-28,80,10,61.7
C100054,2025-03-31,79,3,97.5
C100054,2025-04-30,47,23,43.2
C100054,2025-05-31,69,74,88.6
C100054,2025-06-30,39,50,56.7
C100054,2025-07-31,92,44,21.8
C100054,2025-08-31,35,46,64.7
C100054,2025-09-30,35,18,23.5
C100054,2025-10-31,57,69,85.1
C100055,2024-11-30,112,45,100.0
C100055,2024-12-31,107,36,81.9
C100055,2025-01-31,84,56,68.4
C100055,2025-02-28,42,32,80.6
C100055,2025-03-31,79,4,100.0
C100055,2025-04-30,44,25,46.6
C100055,2025-05-31,124,34,74.3
C100055,2025-06-30,80,43,72.9
C100055,2025-07-31,80,15,66.8
C100055,2025-08-31,11,6,89.8
C100055,2025-09-30,99,31,100.0
C100055,2025-10-31,56,25,69.8
C100056,2024-11-30,57,26,91.9
C100056,2024-12-31,63,42,91.6
C100056,2025-01-31,69,12,45.9
C100056,2025-02-28,63,26,72.7
C100056,2025-03-31,59,76,43.1
C100056,2025-04-30,12,35,46.5
C100056,2025-05-31,67,40,98.0
C100056,2025-06-30,23,19,66.2
C100056,2025-07-31,78,69,95.1
C100056,2025-08-31,58,13,58.0
C100056,2025-09-30,45,41,70.1
C100056,2025-10-31,28,22,76.9
C100057,2025-07-31,22,13,65.0
C100057,2025-08-31,33,11,53.3
C100057,2025-09-30,12,11,5.2
C100057,2025-10-31,18,8,28.7
C100058,2025-10-31,37,44,66.9
C100059,2025-03-31,62,35,72.5
C100059,2025-04-30,89,32,50.5
C100059,2025-05-31,99,36,71.2
C100059,2025-06-30,29,37,57.3
C100059,2025-07-31,97,23,65.6
C100059,2025-08-31,81,46,80.4
C100059,2025-09-30,76,29,80.0
C100059,2025-10-31,87,41,75.6
C100060,2025-02-28,92,0,100.0
C100060,2025-03-31,19,18,55.5
C100060,2025-04-30,56,48,47.5
C100060,2025-05-31,66,19,77.9
C100060,2025-06-30,58,31,58.3
C100060,2025-07-31,47,35,84.5
C100060,2025-08-31,45,14,77.3
C100060,2025-09-30,59,44,51.6
C100060,2025-10-31,17,20,40.3
C100061,2024-11-30,58,18,84.2
C100061,2024-12-31,53,32,70.8
C100061,2025-01-31,64,29,81.5
C100061,2025-02-28,40,55,58.6
C100061,2025-03-31,28,33,42.3
C100061,2025-04-30,75,69,59.3
C100061,2025-05-31,67,0,81.4
C100061,2025-06-30,38,18,40.6
C100061,2025-07-31,77,48,76.1
C100061,2025-08-31,39,58,48.0
C100061,2025-09-30,8,38,30.6
C100061,2025-10-31,83,23,89.7
C100062,2024-12-31,218,19,100.0
C100062,2025-01-31,135,134,81.8
C100062,2025-02-28,106,90,73.8
C100062,2025-03-31,148,4,100.0
C100062,2025-04-30,64,56,70.7
C100062,2025-05-31,247,14,100.0
C100062,2025-06-30,182,87,91.0
C100062,2025-07-31,171,39,100.0
C100062,2025-08-31,85,65,67.2
C100062,2025-09-30,84,101,88.7
C100062,2025-10-31,207,0,100.0
C100063,2025-01-31,120,21,100.0
C100063,2025-02-28,53,5,61.6
C100063,2025-03-31,85,14,66.3
C100063,2025-04-30,74,30,86.4
C100063,2025-05-31,65,38,63.0
C100063,2025-06-30,65,13,97.4
C100063,2025-07-31,44,50,60.0
C100063,2025-08-31,64,21,51.0
C100063,2025-09-30,18,11,49.5
C100063,2025-10-31,65,48,62.8
C100064,2025-02-28,12,1,63.6
C100064,2025-03-31,31,17,74.5
C100064,2025-04-30,25,20,65.0
C100064,2025-05-31,25,8,31.1
C100064,2025-06-30,14,9,55.9
C100064,2025-07-31,35,10,85.2
C100064,2025-08-31,16,8,28.8
C100064,2025-09-30,14,13,54.8
C100064,2025-10-31,27,11,52.0
C100065,2024-11-30,111,28,100.0
C100065,2024-12-31,50,42,85.2
C100065,2025-01-31,65,0,72.0
C100065,2025-02-28,89,39,88.6
C100065,2025-03-31,18,17,64.2
C100065,2025-04-30,69,51,70.1
C100065,2025-05-31,69,30,53.3
C100065,2025-06-30,5,37,55.1
C100065,2025-07-31,45,0,77.6
C100065,2025-08-31,53,40,100.0
C100065,2025-09-30,8,17,48.5
C100065,2025-10-31,94,0,100.0
C100066,2024-11-30,21,9,53.0
C100066,2024-12-31,16,16,34.0
C100066,2025-01-31,22,7,42.1
C100066,2025-02-28,40,12,75.6
C100066,2025-03-31,29,1,94.7
C100066,2025-04-30,0,5,40.8
C100066,2025-05-31,24,11,54.7
C100066,2025-06-30,19,4,26.4
C100066,2025-07-31,25,14,90.0
C100066,2025-08-31,13,14,48.7
C100066,2025-09-30,29,16,63.9
C100066,2025-10-31,17,15,68.6
C100067,2025-09-30,101,14,77.9
C100067,2025-10-31,224,118,100.0
C100068,2024-11-30,10,17,30.6
C100068,2024-12-31,24,6,90.3
C100068,2025-01-31,13,16,58.0
C100068,2025-02-28,22,0,13.3
C100068,2025-03-31,18,11,33.5
C100068,2025-04-30,11,13,64.9
C100068,2025-05-31,18,14,32.5
C100068,2025-06-30,17,19,57.0
C100068,2025-07-31,21,23,29.0
C100068,2025-08-31,26,19,52.2
C100068,2025-09-30,26,4,44.9
C100068,2025-10-31,23,14,80.1
C100069,2024-12-31,32,9,84.5
C100069,2025-01-31,17,15,59.8
C100069,2025-02-28,23,12,25.6
C100069,2025-03-31,11,10,19.9
C100069,2025-04-30,26,15,65.2
C100069,2025-05-31,11,18,94.4
C100069,2025-06-30,21,13,61.0
C100069,2025-07-31,24,9,57.3
C100069,2025-08-31,27,24,31.0
C100069,2025-09-30,19,2,88.2
C100069,2025-10-31,15,1,67.8
C100070,2024-12-31,101,41,87.8
C100070,2025-01-31,69,55,55.5
C100070,2025-02-28,57,21,45.6
C100070,2025-03-31,52,49,78.7
C100070,2025-04-30,75,32,85.5
C100070,2025-05-31,40,24,67.2
C100070,2025-06-30,66,35,69.2
C100070,2025-07-31,50,86,84.8
C100070,2025-08-31,69,25,64.0
C100070,2025-09-30,56,35,31.1
C100070,2025-10-31,22,18,61.5
C100071,2025-01-31,54,56,38.4
C100071,2025-02-28,41,57,66.3
C100071,2025-03-31,81,66,63.1
C100071,2025-04-30,57,25,29.9
C100071,2025-05-31,52,45,78.1
C100071,2025-06-30,74,23,61.5
C100071,2025-07-31,90,21,85.9
C100071,2025-08-31,63,56,90.4
C100071,2025-09-30,28,8,70.9
C100071,2025-10-31,58,21,89.6
C100072,2024-12-31,21,10,72.6
C100072,2025-01-31,16,19,39.6
C100072,2025-02-28,25,18,30.8
C100072,2025-03-31,17,16,78.8
C100072,2025-04-30,18,5,75.1
C100072,2025-05-31,29,3,35.6
C100072,2025-06-30,21,13,51.0
C100072,2025-07-31,25,5,16.0
C100072,2025-08-31,16,10,49.8
C100072,2025-09-30,10,0,43.1
C100072,2025-10-31,27,17,82.8
C100073,2025-07-31,40,9,73.3
C100073,2025-08-31,75,37,34.7
C100073,2025-09-30,39,29,72.7
C100073,2025-10-31,78,32,82.6
C100074,2025-10-31,144,98,100.0
C100075,2025-06-30,20,8,58.3
C100075,2025-07-31,23,11,65.3
C100075,2025-08-31,30,11,47.0
C100075,2025-09-30,27,1,37.4
C100075,2025-10-31,22,13,32.4
C100076,2025-07-31,118,44,79.6
C100076,2025-08-31,192,99,100.0
C100076,2025-09-30,109,13,100.0
C100076,2025-10-31,173,40,100.0
C100077,2025-02-28,19,8,65.0
C100077,2025-03-31,14,7,57.1
C100077,2025-04-30,16,14,92.7
C100077,2025-05-31,13,0,14.3
C100077,2025-06-30,18,6,60.2
C100077,2025-07-31,21,0,20.7
C100077,2025-08-31,22,10,48.8
C100077,2025-09-30,6,12,77.4
C100077,2025-10-31,22,4,58.2
C100078,2025-06-30,27,49,60.6
C100078,2025-07-31,17,24,64.9
C100078,2025-08-31,52,25,42.8
C100078,2025-09-30,73,18,31.2
C100078,2025-10-31,51,47,59.3
C100079,2024-11-30,101,37,90.4
C100079,2024-12-31,56,28,63.4
C100079,2025-01-31,52,39,48.6
C100079,2025-02-28,34,9,100.0
C100079,2025-03-31,72,35,52.8
C100079,2025-04-30,74,27,79.0
C100079,2025-05-31,36,32,53.5
C100079,2025-06-30,41,43,32.9
C100079,2025-07-31,73,42,56.7
C100079,2025-08-31,40,25,69.0
C100079,2025-09-30,56,37,100.0
C100079,2025-10-31,47,0,82.2
C100080,2025-02-28,33,12,39.2
C100080,2025-03-31,19,3,69.2
C100080,2025-04-30,9,8,32.9
C100080,2025-05-31,21,7,60.5
C100080,2025-06-30,20,4,69.2
C100080,2025-07-31,19,4,100.0
C100080,2025-08-31,23,9,86.0
C100080,2025-09-30,34,9,68.3
C100080,2025-10-31,12,9,50.0
C100081,2025-07-31,21,11,68.2
C100081,2025-08-31,21,2,38.2
C100081,2025-09-30,15,8,76.0
C100081,2025-10-31,10,7,72.4
C100082,2024-11-30,17,12,52.9
C100082,2024-12-31,22,8,70.7
C100082,2025-01-31,7,7,58.3
C100082,2025-02-28,24,18,50.2
C100082,2025-03-31,31,6,86.9
C100082,2025-04-30,26,4,64.8
C100082,2025-05-31,19,13,51.9
C100082,2025-06-30,17,18,53.7
C100082,2025-07-31,26,8,92.0
C100082,2025-08-31,14,6,85.2
C100082,2025-09-30,16,19,73.2
C100082,2025-10-31,18,0,55.6
C100083,2025-07-31,62,51,100.0
C100083,2025-08-31,43,44,79.6
C100083,2025-09-30,85,38,39.5
C100083,2025-10-31,56,9,64.6
C100084,2025-10-31,83,35,100.0
C100085,2024-11-30,68,6,22.2
C100085,2024-12-31,63,26,51.5
C100085,2025-01-31,19,16,52.4
C100085,2025-02-28,75,33,100.0
C100085,2025-03-31,35,45,62.6
C100085,2025-04-30,76,22,96.8
C100085,2025-05-31,67,17,72.1
C100085,2025-06-30,54,38,44.4
C100085,2025-07-31,59,37,70.3
C100085,2025-08-31,92,43,80.5
C100085,2025-09-30,65,35,79.7
C100085,2025-10-31,16,24,25.6
C100086,2025-02-28,30,9,56.1
C100086,2025-03-31,27,12,36.4
C100086,2025-04-30,19,7,21.4
C100086,2025-05-31,14,8,52.4
C100086,2025-06-30,8,16,50.6
C100086,2025-07-31,20,12,40.9
C100086,2025-08-31,23,7,39.7
C100086,2025-09-30,24,18,72.5
C100086,2025-10-31,27,6,27.0
C100087,2025-08-31,31,22,91.2
C100087,2025-09-30,17,3,34.4
C100087,2025-10-31,6,9,84.1
C100088,2024-11-30,18,11,83.5
C100088,2024-12-31,16,22,95.2
C100088,2025-01-31,18,6,69.9
C100088,2025-02-28,17,3,81.3
C100088,2025-03-31,29,10,34.4
C100088,2025-04-30,10,10,43.3
C100088,2025-05-31,17,16,70.3
C100088,2025-06-30,31,4,53.5
C100088,2025-07-31,26,12,89.3
C100088,2025-08-31,23,21,68.5
C100088,2025-09-30,28,8,59.6
C100088,2025-10-31,27,19,73.6
C100089,2024-11-30,19,18,12.5
C100089,2024-12-31,8,14,52.9
C100089,2025-01-31,24,10,69.4
C100089,2025-02-28,13,13,74.2
C100089,2025-03-31,29,22,64.5
C100089,2025-04-30,22,0,46.7
C100089,2025-05-31,18,16,43.8
C100089,2025-06-30,26,9,55.1
C100089,2025-07-31,21,7,48.4
C100089,2025-08-31,6,8,42.4
C100089,2025-09-30,15,12,68.2
C100089,2025-10-31,21,15,68.5
C100090,2024-11-30,52,21,73.6
C100090,2024-12-31,73,55,98.2
C100090,2025-01-31,47,28,79.1
C100090,2025-02-28,85,46,77.1
C100090,2025-03-31,29,12,65.1
C100090,2025-04-30,68,10,73.6
C100090,2025-05-31,75,9,97.1
C100090,2025-06-30,50,52,56.0
C100090,2025-07-31,35,21,59.8
C100090,2025-08-31,50,26,73.3
C100090,2025-09-30,55,28,34.1
C100090,2025-10-31,69,28,100.0
C100091,2025-04-30,87,0,91.4
C100091,2025-05-31,159,27,72.4
C100091,2025-06-30,226,129,75.6
C100091,2025-07-31,114,139,78.5
C100091,2025-08-31,112,58,64.9
C100091,2025-09-30,44,114,27.8
C100091,2025-10-31,153,107,72.0
C100092,2024-12-31,37,51,73.0
C100092,2025-01-31,45,51,89.1
C100092,2025-02-28,66,13,63.7
C100092,2025-03-31,66,26,90.8
C100092,2025-04-30,23,3,61.3
C100092,2025-05-31,48,18,30.6
C100092,2025-06-30,60,29,83.1
